time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.param_id,.value.integer,.value.real,.param_index,.param_count
2023/04/21/09:38:10.635134,954,1682087872,135139687,,FTI_ENABLE,1,0.0,338,950
2023/04/21/09:38:10.635357,955,1682087884,643105168,,FTI_FS_AMP_BEGIN,0,1.5,339,950
2023/04/21/09:38:10.635505,956,1682087886,835082379,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:38:10.635523,957,1682087886,835113338,,FTI_LOOP_GAIN,0,1.0,346,950
2023/04/21/09:38:10.635627,958,1682087889,738616894,,FTI_ENABLE,1,0.0,338,950
2023/04/21/09:39:37.535403,959,1682087901,236215116,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:39:37.535593,960,1682087901,240899326,,FTI_LOOP_GAIN,0,1.0,346,950
2023/04/21/09:39:37.535774,961,1682087955,635044382,,FTI_ENABLE,1,0.0,338,950
2023/04/21/09:39:37.535954,962,1682087962,35190547,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:39:37.536133,963,1682087962,35226342,,FTI_LOOP_GAIN,0,1.0,346,950
2023/04/21/09:39:37.536309,964,1682087968,434688215,,FTI_INJXN_POINT,7,0.0,345,950
2023/04/21/09:42:31.034767,965,1682088011,636382342,,FTI_ENABLE,1,0.0,338,950
2023/04/21/09:42:31.035162,966,1682088020,135113334,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:42:31.035190,967,1682088020,135145016,,FTI_LOOP_GAIN,0,1.0,346,950
2023/04/21/09:42:31.035213,968,1682088027,437894666,,FTI_INJXN_POINT,8,0.0,345,950
2023/04/21/09:42:31.035233,969,1682088038,334524993,,FTI_ENABLE,1,0.0,338,950
2023/04/21/09:42:31.035403,970,1682088040,339188166,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:42:31.035656,971,1682088040,433995713,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:42:31.035691,972,1682088040,434026228,,FTI_LOOP_GAIN,0,1.0,346,950
2023/04/21/09:42:31.035808,973,1682088040,549125298,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:42:31.035833,974,1682088096,338880218,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:42:31.035995,975,1682088096,345406118,,FTI_LOOP_GAIN,0,1.0,346,950
2023/04/21/09:42:31.036213,976,1682088099,839908614,,FTI_ENABLE,1,0.0,338,950
2023/04/21/09:42:31.036446,977,1682088117,637850124,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:42:31.036863,978,1682088117,637921399,,FTI_LOOP_GAIN,0,1.0,346,950
2023/04/21/09:42:31.036892,979,1682088118,843849773,,FTI_FS_AMP_BEGIN,0,3.0,339,950
2023/04/21/09:42:31.037094,980,1682088149,337134159,,FTI_ENABLE,1,0.0,338,950
2023/04/21/09:45:44.643185,981,1682088169,437645608,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.643415,982,1682088169,437686461,,FTI_LOOP_GAIN,0,1.0,346,950
2023/04/21/09:45:44.643581,983,1682088171,835470907,,FTI_ENABLE,1,0.0,338,950
2023/04/21/09:45:44.643744,984,1682088228,550998635,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.644638,985,1682088228,839999340,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.644876,986,1682088229,145227283,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.644910,987,1682088229,545198645,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.645042,988,1682088229,942263072,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.645214,989,1682088230,154268882,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.645247,990,1682088230,539917887,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.645274,991,1682088230,836276653,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.645414,992,1682088231,40660016,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.645572,993,1682088231,441282173,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.645756,994,1682088231,748160540,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.733887,995,1682088232,234221953,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.734411,996,1682088232,443855936,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.734438,997,1682088232,843865947,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.734605,998,1682088233,250310166,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.734742,999,1682088233,935832037,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.734764,1000,1682088236,143520095,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.735003,1001,1682088236,847863303,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.735033,1002,1682088239,37654728,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.735200,1003,1682088240,749276241,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.742414,1004,1682088241,135990741,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.742445,1005,1682088241,340891816,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.742469,1006,1682088241,641095544,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.742668,1007,1682088241,941613145,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.742699,1008,1682088242,248342940,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.742722,1009,1682088242,641261741,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.743124,1010,1682088242,934157766,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.743338,1011,1682088243,49332818,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.743377,1012,1682088243,448389703,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.743403,1013,1682088243,840893101,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.743428,1014,1682088244,334290564,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.743451,1015,1682088244,641291082,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.743757,1016,1682088244,935701095,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.743786,1017,1682088245,441140540,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.745439,1018,1682088246,41405557,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.745468,1019,1682088246,544043913,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.745497,1020,1682088248,46743212,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.745521,1021,1682088250,645871416,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.834298,1022,1682088251,145964992,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.834662,1023,1682088251,755775751,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.834691,1024,1682088252,34734919,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.834732,1025,1682088252,639310751,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.834759,1026,1682088253,45235776,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.834806,1027,1682088253,341295472,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.835370,1028,1682088253,550433383,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.835404,1029,1682088253,944315611,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.835429,1030,1682088254,144646838,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.835686,1031,1682088254,634533835,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.835729,1032,1682088254,846846366,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.835756,1033,1682088255,139481914,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.835790,1034,1682088255,340101725,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.835954,1035,1682088255,553988810,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.835995,1036,1682088256,140337851,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.836022,1037,1682088257,634698432,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.836046,1038,1682088258,334658326,,FTI_ENABLE,0,0.0,338,950
2023/04/21/09:45:44.837420,1039,1682088259,738273727,,FTI_ENABLE,0,0.0,338,950
